spotify_track_uri,ts_x,username,platform,ms_played_x,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name_x,master_metadata_album_artist_name_x,master_metadata_album_album_name_x,reason_start,reason_end,shuffle,skipped,offline,track_id,master_metadata_track_name_y,master_metadata_album_artist_name_y,master_metadata_album_album_name_y,ts_y,ms_played_y,Track URI,Track Name_releases,Artist URI(s)_releases,Artist Name(s)_releases,Album URI_releases,Album Name_releases,Album Artist URI(s)_releases,Album Artist Name(s)_releases,Album Release Date_releases,Album Image URL_releases,Disc Number_releases,Track Number_releases,Track Duration (ms)_releases,Track Preview URL_releases,Explicit_releases,Popularity_releases,ISRC_releases,Added By_releases,Added At_releases,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights
spotify:track:14FRgD7VLNJf9XSukpOsAT,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",150715,SE,,,Sick & Tired,Denzel Curry,Imperial,trackdone,,False,False,True,14FRgD7VLNJf9XSukpOsAT,Sick & Tired,Denzel Curry,Imperial,2016-12-19 17:19:44+00:00,84834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1hz0AjY42cNIAGWqRlLpau,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",286481,SE,,,2 Seater,Keith Jenkins,Black Bart 2,trackdone,,False,False,True,1hz0AjY42cNIAGWqRlLpau,2 Seater,Keith Jenkins,Black Bart 2,2019-08-08 11:17:17+00:00,3674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1gGsNNUfvVMOv4llVMg8Vg,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",2908,SE,,,Ps & Qs,Lil Uzi Vert,Lil Uzi Vert vs. The World,fwdbtn,,True,False,True,1gGsNNUfvVMOv4llVMg8Vg,Ps & Qs,Lil Uzi Vert,Lil Uzi Vert vs. The World,2019-07-29 15:59:19+00:00,89658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:0QzAhTbNhMCVMb5U5p4x8e,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",93371,SE,,,Bulls**t (feat. 21 Savage),Dae Dae,The DefAnition,clickrow,,False,False,True,0QzAhTbNhMCVMb5U5p4x8e,Bulls**t (feat. 21 Savage),Dae Dae,The DefAnition,2019-07-29 17:21:38+00:00,116190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:5CZemYOzQXnCX6aub0nkht,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",145045,SE,,,The Cost,Xavier Wulf,Project X,trackdone,,False,False,True,5CZemYOzQXnCX6aub0nkht,The Cost,Xavier Wulf,Project X,2016-12-13 16:03:49+00:00,145045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:7GX4xz80bCEqJ6kAfmlHTH,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",4124,SE,,,Guardians (feat. Fiora),Au5,Guardians (feat. Fiora),fwdbtn,,True,False,True,7GX4xz80bCEqJ6kAfmlHTH,Guardians (feat. Fiora),Au5,Guardians (feat. Fiora),2017-01-05 21:13:39+00:00,272230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:5csstxtdYznzLQvLOXAYYz,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",116062,SE,,,Changes,Kenny Turnup,"Every Man for Himself, Pt. 1",trackdone,,False,False,True,5csstxtdYznzLQvLOXAYYz,Changes,Kenny Turnup,"Every Man for Himself, Pt. 1",2017-03-24 16:29:04+00:00,34801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:4XF1D03U8LuaLzlCMugIE5,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",108251,SE,,,Flex Like Ouu,Lil Pump,Flex Like Ouu,trackdone,,False,False,True,4XF1D03U8LuaLzlCMugIE5,Flex Like Ouu,Lil Pump,Flex Like Ouu,2017-03-29 00:56:56+00:00,28270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:14FRgD7VLNJf9XSukpOsAT,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",91783,SE,,,Sick & Tired,Denzel Curry,Imperial,appload,,False,False,True,14FRgD7VLNJf9XSukpOsAT,Sick & Tired,Denzel Curry,Imperial,2016-12-19 17:19:44+00:00,84834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:4E7H6rqgxHdSoeGSS28CTY,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",281120,SE,,,Benz Friendz (Whatchutola) (feat. André 3000),Future,Honest,fwdbtn,,False,False,True,4E7H6rqgxHdSoeGSS28CTY,Benz Friendz (Whatchutola) (feat. André 3000),Future,Honest,2019-07-29 16:06:12+00:00,790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2PI0bU4jelYkH8HKbn2G7E,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",1911,SE,,,Snigelns visa,Mando Diao,Infruset,fwdbtn,,True,False,True,2PI0bU4jelYkH8HKbn2G7E,Snigelns visa,Mando Diao,Infruset,2019-08-03 14:59:03+00:00,740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
